,Datetime,Text,TweetID,username
110,2020-06-23 23:08:54+00:00,#SushantSinghRajput #JusticeForShushantSinghRajput,1275566532320309248,GeetikaKhare4
111,2020-06-23 23:08:47+00:00,"Sushant Singh Rajput's sudden death has devastated me, please If you care then join me and many other millions of his fans and comment using #JusticeforSushantSinghRajput to let the world know that we want full investigation and we want the truth about his death come out. #SSR",1275566501693718529,ReemaChopra6
112,2020-06-23 23:08:30+00:00,New post: Sushant Singh Rajput -Sandip Ssingh’s Unfinished Film Vande Bharatam Poster | Sandip Ssingh To Direct V ,1275566431527149568,Filmi_Story1
113,2020-06-23 23:08:29+00:00,Ye bkvas k tweets krke ye Mt smjhane ki koshish kr k tujhe boht dukh ho RHA h @itsSSR k lie....SB jante h hum tum logo k naatak jinse Tum jnta ko bevkuf bnate ho ....pr ab tujhe aur Tere pati ko flop hone se koi ni bcha skta...to inn SB baato se accha koi dusra career dhund le,1275566426913476612,Thiea14
114,2020-06-23 23:08:26+00:00,#sushantshingrajput #SSR @itsSSR MissYou #Sush,1275566415030947842,sanonazz
115,2020-06-23 23:08:06+00:00,#justiceforsushantforum @Team_SushantSR @itsSSR @Team_SushantSR #CBIEnquiryForSushant #JusticeforSushantSingRajput #FIRForSushantUnder302 #SushantSinghRajput Please tweet to one thread for impact if possible. Please request all your followers to tweet too. Power in Numbers.,1275566328628289537,keesain99
116,2020-06-23 23:08:00+00:00,"Sushant Singh Rajput’s Unique UNSOLVED Instagram Posts, REVEAL His State Of Mind? ",1275566302787104768,MDSEntertainme1
117,2020-06-23 23:07:25+00:00,SUSHANT SINGH RAJPUT WAS MURDERED SUSHANT SINGH RAJPUT WAS MURDERED SUSHANT SINGH RAJPUT WAS MURDERED SUSHANT SINGH RAJPUT WAS MURDERED,1275566157823696897,beekaboo_
118,2020-06-23 23:07:04+00:00,"When I saw promotions of #KedarnathMovie &amp; #Highway movies, I specifically noticed how everything was made abt Sara Ali &amp; Alia, &amp; the guys (#RandeepHooda &amp; #SushantSinghRajput) were shoved in background. Didnt like it ONE bit. Hated star kids that v.instant! #Bollywood= stinky ",1275566071374725120,0A_Nony_Miss0
119,2020-06-23 23:04:39+00:00,Justice for Sushant Singh Rajput...it was a planned murder #SushantSinghRajput #SushantSinghRajputmurder #sushantsinghrajputdeath #sushantsinghrajputRIP,1275565463192231937,MujeebM47624979
120,2020-06-23 23:04:19+00:00,"Sushant Singh Rajput की आत्महत्या की CBI जांच की उठी मांग, गृहमंत्री को लिखा पत्र ",1275565377154691073,TroopNews
121,2020-06-23 23:02:54+00:00,We miss you @SSR #BoycottKaranJoharGang #BoycottKaranJohar #boycottbollywood #BoycottNepotism #SushantSinghRajput #GoneTooSoon,1275565019527143424,shaantpahadi
122,2020-06-23 23:02:52+00:00,We want CBI enquiry regarding #Sushantsinghrajput murder mystery #PublicDemandCBIEnquiryForSSR,1275565013919363074,KaurG70105564
